home_team,away_team,spread
Virginia Tech,West Virginia,2
Georgia State,Coastal Carolina,2.5
Syracuse,Virginia,-10
Air Force,Nevada,-24
UTEP,Boise State,16
Mississippi State,Bowling Green,-30
Iowa State,Baylor,-2.5
Wake Forest,Clemson,7.5
Michigan,Maryland,-17
Auburn,Missouri,-7
Kansas,Duke,-7.5
SMU,TCU,1.5
Eastern Michigan,Buffalo,-6
Louisville,South Florida,-14
Georgia,Kent State,-46
Penn State,Central Michigan,-26.5
Colorado,UCLA,21.5
Temple,UMass,-9
North Carolina,Notre Dame,-1
Texas Tech,Texas,6.5
Tennessee,Florida,-11
Cincinnati,Indiana,-17
Miami,Middle Tennessee,-25.5
Memphis,North Texas,-11.5
Western Kentucky,Florida International,-31
Michigan State,Minnesota,3
Appalachian State,James Madison,-7
San Diego State,Toledo,1.5
Ole Miss,Tulsa,-21
Washington State,Oregon,6.5
UCF,Georgia Tech,-20
California,Arizona,-3
Old Dominion,Arkansas State,-6
Georgia Southern,Ball State,-10
East Carolina,Navy,-17
Liberty,Akron,-28.5
Houston,Rice,-17.5
Kentucky,Northern Illinois,-26
South Alabama,Louisiana Tech,-13
Utah State,UNLV,3
Troy,Marshall,3
Texas A&M,Arkansas,-2
Tulane,Southern Mississippi,-13
Rutgers,Iowa,7.5
LSU,New Mexico,-30.5
South Carolina,Charlotte,-22
Northwestern,Miami (OH),-7
NC State,Connecticut,-38.5
Purdue,Florida Atlantic,-20
Ohio State,Wisconsin,-18
Alabama,Vanderbilt,-40
Louisiana Monroe,Louisiana,9
New Mexico State,Hawai'i,-5
Oklahoma,Kansas State,-13
Florida State,Boston College,-16.5
Oregon State,USC,6.5
BYU,Wyoming,-22
Washington,Stanford,-14
Arizona State,Utah,14.5
San José State,Western Michigan,-7
